ht,un,upn,wn,vn,at,gr,is,eg,ws,tt,ct,tw_pp,wt,tr_pt,ts,fep,tc,tf,te,we,ce,ep
Barind,Tanore,Soronjai,2,Bhagna,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Manually with buckets
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Non-smooth material,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin Jhaugara,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),400,Manually with buckets
Haor,Jagannathpur,Jagannathpur,1,Durgapur ,Urban ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Smooth wood/bamboo,Yes,"No, not clean due to other reason (please specify)","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,6,Dakshin jhaugara,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Smooth earth/mud,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Belhotti,Rural ,Male,Government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,No roof,Non-smooth material,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur,Urban ,Male,Other (please specify),Bengali,Hard-core poor,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Barind,Niamatpur,Hazinagar,4,Belhatti,Rural ,Male,Other (please specify),Bengali,Hard-core poor,Pour-flush toilet,Single pit,No walls,,"Yes, roof exists and is adequate to protect from rain",Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Tanore,Soronjai,2,Bhagna,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Cloth/sack,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,With a hand pump (or gulper device)
Barind,Sapahar,Goala,6,Aladipur,Rural ,Male,Fishing at Sea/river,Bengali,Poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1500,Manually with buckets
Haor,Itna, Itna,8,Purbogram jogerkanda,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, partly functional",Never emptied,,,
Barind,Niamatpur,Hazinagar,4,Belhotti,Rural ,Male,Other (please specify),Bengali,Non-poor ,Pour-flush toilet,Container tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),700,With a hand pump (or gulper device)
Haor,Itna, Itna,8,Purbogram,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible",No - toilet is collapsed/abandoned,,,,
Haor,Itna, Itna,8,Purbogram jogerkanda,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur ,Urban ,Male,Non-government Service ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Tanore,Soronjai,2,Bhagna,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Thatch/grass/reeds,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,With a hand pump (or gulper device)
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Non-smooth material,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Sapahar,Goala,6,Aladipur,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Smooth earth/mud,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Belhatti,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Haor,Jagannathpur,Jagannathpur,1,Durgapur,Urban ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Never emptied,,,
Haor,Ajmiriganj,Ajmiriganj,6,Sharifnagar notun bari,Urban ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur ,Urban ,Male,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Sapahar,Sapahar,6,Aladipur ,Rural ,Female,Agriculture ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna, Itna,8,Purbogram,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna, Itna,8,Purbogram,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Tanore,Soronjai,2,Bhagna,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Ajmiriganj,Ajmiriganj,6,Sharifnogor notun bari,Urban ,Male,Non-government Service ,Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),400,Manually with buckets
Barind,Sapahar,Goala,6,Aladipur,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur ,Urban ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Haor,Ajmiriganj,Ajmiriganj,6,Sharifnagar notun bari,Urban ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Sapahar,Goala,6,Aladipur ,Rural ,Female,Agriculture ,Bengali,Hard-core poor,,,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur,Urban ,Male,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Belhotti,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Haor,Itna, Itna,8,Purbogram,Rural ,Male,Other (please specify),Bengali,Poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Ajmiriganj,Ajmiriganj,6,Shiripnogor notun bari,Urban ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,I don't know,"Yes, walls exist and provide privacy",Cloth/sack,No roof,No slab/floor (open pit),Yes,"No, not clean due to other reason (please specify)",No - toilet is collapsed/abandoned,,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Female,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur ,Urban ,Male,Agriculture ,Bengali,Poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Tanore,Soronjai,2,Bhagna,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Metal sheet,No roof,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),700,Manually with buckets
Haor,Ajmiriganj,Ajmiriganj,6,Sharif nagar notunbari,Urban ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Sapahar,Goala,6,Aladipur,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur,Urban ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Belhotti,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Container tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Sapahar,Goala,6,Aladipur ,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna, Itna,8,Purbogram jogerkanda,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur ,Urban ,Female,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Tanore,Soronjai,2,Bhagna,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Mud blocks,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),300,Manually with buckets
Haor,Ajmiriganj,Ajmiriganj,6,Shoripnogor notun bari,Urban ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Itna, Itna,8,Purbogram jogerkanda,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are not paid for this job (relatieves/friends/neighbours)),,Manually with buckets
Haor,Jagannathpur,Jagannathpur,1,Durgapur,Urban ,Female,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Bellhotti,Rural ,Male,Agriculture ,Bengali,Poor ,,,Walls exist but do not provide adequate privacy,Mud blocks,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur ,Urban ,Male,Non-government Service ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Haor,Ajmiriganj,Ajmiriganj,6,Sharifnogor notunbari,Urban ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, not clean due to other reason (please specify)",No - toilet is full,Yes emptied,A service provider (person or firm contracted to empty the toilet),300,Manually with buckets
Barind,Niamatpur,Hazinagar,4,Belhatti,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,No roof,Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,Manually with buckets
Barind,Sapahar,Goala,6,Aladipur,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Mud blocks,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Ajmiriganj,Ajmiriganj,6,Shoripnogir notun bari,Urban ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, not clean due to other reason (please specify)","Yes, fully functional",,,,
Barind,Tanore,Soronjai,2,Bhagna,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),700,With a hand pump (or gulper device)
Barind,Sapahar,Goala,6,Aladipur ,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Barind,Tanore,Soronjai,2,Bhagna,Urban ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,1,Durgapur,Urban ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Ajmiriganj,Ajmiriganj,6,Sharifnagar notunbari,Urban ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
